soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
cereală	grâu	N	cereală	grâu	Grup de plante din familia gramineelor (grâu, porumb etc.), cu rădăcini fasciculate, tulpini neramificate și fructe cariopse, ale căror semințe servesc ca hrană omului sau animalelor și ca materie primă în industria alimentară	sămânța grâului, folosită de obicei sub formă de făină	3.42	4.82
casă	cheie	N	casă	cheie	construcție destinată pentru a servi de locuință uneia sau mai multor familii	Obiect de metal care servește la încuierea sau descuierea unei broaște sau a unui lacăt.;	2.0	2.17
sânge	carne	N	sânge	carne	Substanță lichidă de culoare roșie, compusă din plasmă și din globule (albe și roșii), care circulă prin vene și artere, asigurând nutriția și oxigenarea organismului la animalele superioare.	Bucată din țesutul muscular al animalelor tăiate, întrebuințată ca aliment.	1.83	1.82
ușă	coridor	N	cadru,prag,ușă	coridor,culoar,gang,galerie	Deschizătură a zidului ocupată de o ușă sau de o fereastră. " Intră, te rog, de ce stai în ușă? ".	Loc de trecere îngust (și lung), care leagă încăperile unei clădiri și din care se intră în camerele aceluiași apartament sau ale aceluiași etaj	2.19	1.25
dumnezeu	duh	N	divinitate,dumnezeu,idol,zeitate,zeu	duh	Orice ființă supranaturală care este venerată, controlează o parte a lumii sau este o personificare a unei forțe	(în superstiții) Sufletul unui mort despre care se crede că ar ieși noaptea din mormânt pentru a pricinui rele celor vii	2.42	4.87
capacitate	competență	N	capacitate,potențial	competență	Capacitate de muncă, de producție, de acțiune	Capacitate a cuiva de a se pronunța asupra unui lucru, pe temeiul unei cunoașteri adânci a problemei în discuție	2.68	8.02
abundență	belșug	N	abundență,belșug,bogăție,opulență	abundență,belșug,bogăție,opulență	cantitate abundenta de bunuri materiale sau spirituale, belșug, prisos	cantitate abundenta de bunuri materiale sau spirituale, belșug, prisos	4.0	9.4
canapea	scaun	N	canapea	scaun	Mobilă (cu spătar și cu brațe, uneori capitonată) pe care se șade și pe care se poate dormi.	Mobilă de lemn, de metal etc., cu sau fără spetează, pe care poate ședea o singură persoană	3.42	3.2
zid	cărămidă	N	zidărie,zid	cărămidă	Lucrare de construcție făcută din zid	Material de construcție artificial, având forma unei piese prismatice, obținut dintr-un amestec de argilă, nisip și apă sau din alte materiale ( beton, zgură de furnal etc.), uscat la soare sau ars în cuptor.	2.19	2.95
corn	tobă	N	corn	tobă	sursă de zgomot, folosită la petreceri sau în unele jocuri, care face zgomot când este suflat aer prin ea	Instrument muzical de percuție, format dintr-un cilindru scurt, larg și gol, de lemn sau de metal, pe fundul căruia este întinsă câte o membrană din piele, care, lovită (cu două baghete), produce sunete.	2.19	1.32
organ	ficat	N	organ	ficat	Parte a unui organism animal sau vegetal care îndeplinește anumite funcții	Glandă-anexă a tubului digestiv, situată în partea dreaptă a abdomenului, sub diafragmă, formată din patru lobi și din vezicula biliară, care îndeplinește diferite funcții fiziologice importante în organism	3.0	3.47
tărie	putere	N	forță,intensitate,putere,tărie	forță,intensitate,putere,tărie	Grad sau nivel înalt de tărie, de putere, de forță	Grad sau nivel înalt de tărie, de putere, de forță	4.0	7.98
sintagmă	cuvânt	N	înșirare,înșiruire,șir,sintagmă	vorbire,cuvânt	înșiruire de cuvinte	limbaj vorbit sau scris	3.0	3.77
trupă	paradă	N	ansamblu,companie,trupă	defilare,paradă	Colectiv de actori ai unui teatru sau al unui circ	Procesiune care implică oameni mergând	2.0	3.12
stomac	talie	N	stomac	talie	Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor	Partea de la mijloc, mai subțire, a corpului omenesc, situată deasupra șoldurilor 	2.19	1.8
nor	furtună	N	nor	furtună,vijelie	(Mai ales la pl.) Masă (delimitată) de vapori sau de picături de apă, de cristale de gheață aflate în suspensie în atmosferă.	vânt puternic însoțit de averse de ploaie, de grindină și de descărcări electrice	3.0	2.27
bucurie	mândrie	N	bucurie,mulțumire	mândrie	plăcere dată de vremea bună	sentiment de demnitate, de încredere în calitățile proprii. " Nu-l poți jigni așa pentru că are și el demnitatea lui ".	2.68	2.67
zgomot	tărăboi	N	zgomot,gălăgie,vacarm,tărăboi,agitație	zgomot,gălăgie,vacarm,tărăboi,agitație	Zgomot puternic (de glasuri, de mașini etc.)	Zgomot puternic (de glasuri, de mașini etc.)	4.0	7.63
ploaie	ceață	N	ploaie	ceață	Precipitație atmosferică sub formă de picături de apă provenite din condensarea vaporilor din atmosferă.	Ceață densă care se formează îndeosebi dimineața și seara, reducând mult vizibilitatea	1.83	1.7
bere	băutură	N	bere	băutură,lichid_potabil	Băutură alcoolică slabă obținută prin fermentarea unei infuzii rezultate din fierberea în apă a malțului și a florilor de hamei.	Orice lichid care poate fi băut.	2.68	4
bărbat	unchi	N	bărbat,gospodar,soț	unchi	bărbat căsătorit considerat în raport cu soția lui	bărbat considerat în raport cu copiii fraților și surorilor sale, în raport cu copiii fraților și surorilor soției sale sau în raport cu copiii verilor și verișoarelor sale	2.42	2.98
măr	suc	N	măr	suc,zeamă	Fruct al mărului, de formă rotundă-turtită și de diferite culori	Lichid conținut în substanțele vegetale, în special în fructe, de unde poate fi extras prin presare sau stoarcere	1.83	1.92
inteligență	logică	N	inteligență,pricepere,minte	logică,noimă	Capacitatea de a înțelege ușor și bine, de a sesiza ceea ce este esențial, de a rezolva situații sau probleme noi pe baza experienței acumulate anterior	Rațiune coerentă, consecventă și temeinică	2.0	4.4
comunicare	limbă	N	comunicare	limbă,limbaj	Ceea ce este comunicat de către sau între oameni	Limbajul unei comunități umane istoricește constituite.;	3.0	4.58
nurcă	blană	N	nurcă,haină_de_nurcă	blană,haină_de_blană	haină confecționată din blană de nurcă	haină confecționată din blană	2.19	3.2
gloată	mulțime	N	gloată,grămadă,mulțime,stol	gloată,grămadă,mulțime,stol	Număr mare de oameni strânși la un loc	Număr mare de oameni strânși la un loc	4.0	8.68
țărm	coastă	N	coastă,mal,țărm	coastă,mal,țărm	Fâșie de pământ de-a lungul unei ape mari	Fâșie de pământ de-a lungul unei ape mari	4.0	6.13
sârmă	cablu	N	sârmă	cablu	Fir metalic (de oțel, de aramă, de aluminiu etc.) a cărui secțiune are dimensiunile mai mici de 16mm; utilizat pentru a confecționa cuști â, garduri sau pentru prinderea anumitor obiecte;	Conductă electrică formată din mai multe fire izolate (acoperite cu un înveliș vegetal sau metalic).	1.83	4
pasăre	curcan	N	pasăre	curcan	Carne de pasăre, folosită ca aliment.	Pasăre domestică, de talie mare, cu coada lată care se desface în evantai, crescută pentru carnea ce posedă valoroase calități dietetice	3.0	3.77
pat	pătuț	N	pat	pătuc,pătuț	Mobilă de lemn sau de metal, prevăzută de obicei cu somieră sau cu saltea	Pat pentru copii, cu laterale înalte	2.42	6.13
competență	abilitate	N	competență	abilitate,destoinicie	Capacitate a cuiva de a se pronunța asupra unui lucru, pe temeiul unei cunoașteri adânci a problemei în discuție	calitatea de a fi în stare să facă ceva	3.42	9.12
nor	pâclă	N	nor	pâclă,negură	(Mai ales la pl.) Masă (delimitată) de vapori sau de picături de apă, de cristale de gheață aflate în suspensie în atmosferă.	atmosferă cu vizibilitate redusă datorită unui nor dintr-o substanță oarecare	2.42	3.2
cină	masă	N	cină	masă	Masa de seară. " Cina de ieri a fost cu pește ".	Mâncare care se servește la anumite ore ale zilei. " Deseară luăm masa în oraș "	3.42	4.85
gratie	cușcă	N	gratie	cușcă	Fiecare dintre vergelele care se așează (paralel) în tocul (sau în fața) ușilor, ferestrelor, vitrinelor etc., alcătuind împreună un ansamblu fix sau semimobil, care servește ca măsură de siguranță sau ca motiv arhitectonic.;	Adăpost în formă de căsuță sau de cutie, cu sau fără gratii, pentru unele animale (domestice sau sălbatice).	2.19	4.03
apă	sare	N	apă,h2o	clorură_de_sodiu,sare	Lichid incolor, fără gust și fără miros, compus hidrogenat al oxigenului, care formează unul dintre învelișurile pământului.	Substanță cristalină, sfărâmicioasă, solubilă în apă și cu gust specific, care constituie un condiment de bază în alimentați și este folosită în industria conservelor, în tăbăcire, în industria chimică	3.0	0.88
simț	intuiție	N	simț	intuiție	Înțelegere intuitivă pentru ceva.	Descoperire bruscă, neașteptată, a unui adevăr, a unei soluții etc	3.42	7.33
situație	condiție	N	caz,situație	circumstanță,condiție	mulțime de circumstanțe	condiție care însoțește sau influențează un eveniment sau o activitate	3.42	5.38
infracțiune	furt	N	delict,infracțiune,fărădelege	furt,hoție	Faptă care prezintă pericol, constând în încălcarea unei legi penale, în săvârșirea, cu vinovăție, a unei abateri de la legea penală, și care este sancționată de lege	Infracțiune care constă în însușirea pe nedrept a unui lucru mobil al altuia	3.0	5.63
stil	modă	N	stil	modă,vogă	Mod specific de exprimare într-un anumit domeniu al activității omenești, pentru anumite scopuri ale comunicării;	Obicei, deprindere colectivă, specifică la un moment dat unui mediu social;	1.54	6.23
limită	frontieră	N	frontieră,graniță,hotar,limită,margine	frontieră,graniță,hotar,limită,margine	Loc unde se termină o suprafață	Loc unde se termină o suprafață	4.0	7.1
braț	corp	N	braț	corp	Obiect sau parte a unui obiect care seamănă cu brațul	Partea principală a unui obiect, a unei construcții, a unei mașini etc.	2.68	2.77
barcă	mașină	N	barcă	locomotivă,mașină	Ambarcație mică pentru călătoria pe apă	Vehicul motor de cale ferată, cu sursă de energie proprie sau străină, folosind pentru a remorca și a deplasa vagoanele.	2.0	1.32
sandviș	prânz	N	sandviș	dejun,prânz	Felie de pâine (unsă cu unt) cu un aliment rece (șuncă, salam, brânză etc.) peste care se așează adesea a doua felie de pâine.	Masa de amiază	2.19	2.05
mireasă	prințesă	N	mireasă	prințesă,principesă	Nume purtat de femeie în ziua sau în preajma căsătoriei sale	Fiică a unui rege, a unui principe, a unui împărat.	1.83	1.92
eroină	erou	N	eroină	erou	Femeie care posedă calități eroice.	Persoană care se distinge prin vitejie și prin curaj excepțional în războaie, prin abnegație deosebită în alte împrejurări grele ori în muncă.	2.19	4.58
insectă	albină	N	gânganie,gâză,hexapod,insectă	albină	Clasă care cuprinde mici animale nevertebrate din încrengătura artropodelor, cu corpul format din segmente diferențiate în cap, torace și abdomen, cu trei perechi de picioare articulate, respirând prin trahee sau prin tegumentul care este chitinizat și având dezvoltare prin metamorfoză	Insectă din familia apidelor, cu aparatul bucal adaptat pentru supt și lins, iar cu picioarele posterioare pentru strângerea polenului, cu abdomenul prevăzut cu un ac veninos, și care trăiește în familii, producând miere și ceară	3.0	4.12
pătuț	balansoar	N	pătuc,pătuț	balansoar	Pat pentru copii, cu laterale înalte	Fotoliu care se balansează pe două tălpi curbate.	2.19	2.45
animal	persoană	N	animal,creatură,jivină,lighioană,necuvântător	individ,om,persoană	Ființă organizată, uni-sau pluricelulară, înzestrată cu facultatea de a simți și de a se mișca	Individ al speciei umane, om considerat prin totalitatea însușirilor sale fizice și psihice	3.0	0.95
marijuana	iarbă	N	canabis,marijuana	iarbă,verdeață	Stupefiant extras din canabis.	Nume de stradă pentru marijuana.	3.42	7.2
pat	spital	N	pat	spital	parte plana a unei prese de tipar, pe care se pune forma de tipărit în ultim a etapă a producerii unui ziar, a unei reviste sau a unei cărți	construcție în care sunt internați bolnavii, accidentații sau răniții	2.0	1.73
obraz	limbă	N	obraz	limbă	Fiecare dintre cele două părți laterale ale feței; pielea care acoperă aceste părți	Organ musculos mobil care se află în gură, servind la perceperea gustului, la mestecarea și la înghițirea alimentelor, la om fiind și organul principal de vorbire	2.42	1.45
CD	computer	N	CD,compact_disc,disc	calculator,computer,ordinator	Placă circulară care servește la înregistrarea și reproducerea vocii, a sunetelor, a imaginilor grafice etc. cu ajutorul unui aparat special, având la bază un sistem laser de înregistrare / reproducere	Calculator numeric universal, compus dintr-un număr variabil de unități specializate și comandate de același program înregistrat, care permite efectuarea unor operații aritmetice și logice fără intervenția omului în timpul lucrului și rezolvă probleme de calcul științific, de gestiune a întreprinderilor comerciale sau industriale etc.	2.19	2.13
curbă	unghi	N	curbă	unghi	Formă curbată care nu formează unghiuri ascuțite.	Figură formată din două semidrepte care pleacă din același punct.;	2.42	2.02
iarbă	mușchi	N	iarbă	mușchi,licheni	Nume generic dat plantelor erbacee, anuale sau perene, cu părțile aeriene verzi, subțiri și mlădioase, folosite pentru hrana animalelor	Plante criptograme fără rădăcină, care cresc în grupuri de fire veșnic verzi în locurile umede sau pe scoarța copacilor și se răspândesc prin spori.	2.42	2.3
școală	lege	N	învățătură,școală,doctrină,dogmatism	lege	Curent, mișcare științifică, literară, artistică etc. care grupează în jurul ei numeroși adepți; baza teoretică a acestei mișcări.;	Categorie filozofică ce exprimă raporturi esențiale, necesare, generale, relativ stabile și repetabile între laturile interne ale aceluiași obiect sau fenomen, între obiecte sau fenomene diferite sau între stadiile succesive ale unui anumit proces	2.19	1.42
